Input,distal,proximal
raw/static/trackTest-21Dec2021-C231-Y1/14/FH512_noDither_gradSpoiled-2021-12-21T17_53_50.057,6,7
raw/static/trackTest-21Dec2021-C231-Y1/14/SRI_Original-2021-12-21T17_54_43.605,6,7
raw/static/trackTest-21Dec2021-C231-Y1/15/FH512_noDither_gradSpoiled-2021-12-21T18_04_31.068,6,7
raw/static/trackTest-21Dec2021-C231-Y1/15/SRI_Original-2021-12-21T18_05_26.149,6,7
raw/static/trackTest-21Dec2021-C231-Y1/16/FH512_noDither_gradSpoiled-2021-12-21T18_19_12.969,6,7
raw/static/trackTest-21Dec2021-C231-Y1/16/SRI_Original-2021-12-21T18_19_59.635,6,7
raw/static/trackTest-21Dec2021-C231-Y1/1/FH512_noDither_gradSpoiled-2021-12-21T13_45_34.997,6,7
raw/static/trackTest-21Dec2021-C231-Y1/1/SRI_Original-2021-12-21T13_46_21.779,6,7
raw/static/trackTest-21Dec2021-C231-Y1/2/FH512_noDither_gradSpoiled-2021-12-21T13_58_06.594,6,7
raw/static/trackTest-21Dec2021-C231-Y1/2/SRI_Original-2021-12-21T13_58_50.502,6,7
raw/static/trackTest-21Dec2021-C231-Y1/3/FH512_noDither_gradSpoiled-2021-12-21T14_16_58.679,6,7
raw/static/trackTest-21Dec2021-C231-Y1/3/SRI_Original-2021-12-21T14_17_39.961,6,7
raw/static/trackTest-21Dec2021-C231-Y1/4/FH512_noDither_gradSpoiled-2021-12-21T14_28_56.570,6,7
raw/static/trackTest-21Dec2021-C231-Y1/4/SRI_Original-2021-12-21T14_29_37.569,6,7
raw/static/trackTest-21Dec2021-C231-Y1/5/FH512_noDither_gradSpoiled-2021-12-21T14_45_54.917,6,7
raw/static/trackTest-21Dec2021-C231-Y1/5/SRI_Original-2021-12-21T14_46_41.250,6,7
raw/static/trackTest-21Dec2021-C231-Y1/6/FH512_noDither_gradSpoiled-2021-12-21T14_58_06.760,6,7
raw/static/trackTest-21Dec2021-C231-Y1/6/SRI_Original-2021-12-21T15_06_50.158,6,7
raw/static/trackTest-21Dec2021-C231-Y1/7/FH512_noDither_gradSpoiled-2021-12-21T15_19_52.980,6,7
raw/static/trackTest-21Dec2021-C231-Y1/7/SRI_Original-2021-12-21T15_20_48.846,6,7
raw/static/trackTest-21Dec2021-C231-Y1/8/FH512_noDither_gradSpoiled-2021-12-21T15_31_53.171,6,7
raw/static/trackTest-21Dec2021-C231-Y1/8/SRI_Original-2021-12-21T15_32_35.770,6,7
raw/static/trackTest-21Dec2021-C231-Y1/9/FH512_noDither_gradSpoiled-2021-12-21T15_49_38.816,6,7
raw/static/trackTest-21Dec2021-C231-Y1/9/SRI_Original-2021-12-21T15_50_30.231,6,7
raw/static/trackTest-6Jan2022-C306-Y1/10/FH512_noDither_gradSpoiled-2022-01-06T14_26_08.944,6,7
raw/static/trackTest-6Jan2022-C306-Y1/10/SRI_Original-2022-01-06T14_26_57.759,6,7
raw/static/trackTest-6Jan2022-C306-Y1/11/FH512_noDither_gradSpoiled-2022-01-06T14_36_23.788,6,7
raw/static/trackTest-6Jan2022-C306-Y1/11/SRI_Original-2022-01-06T14_37_17.904,6,7
raw/static/trackTest-6Jan2022-C306-Y1/12/FH512_noDither_gradSpoiled-2022-01-06T14_50_06.276,6,7
raw/static/trackTest-6Jan2022-C306-Y1/12/SRI_Original-2022-01-06T14_51_01.224,6,7
raw/static/trackTest-6Jan2022-C306-Y1/13/FH512_noDither_gradSpoiled-2022-01-06T15_01_36.253,6,7
raw/static/trackTest-6Jan2022-C306-Y1/13/SRI_Original-2022-01-06T15_02_24.684,6,7
raw/static/trackTest-6Jan2022-C306-Y1/14/FH512_noDither_gradSpoiled-2022-01-06T15_14_30.374,6,7
raw/static/trackTest-6Jan2022-C306-Y1/14/SRI_Original-2022-01-06T15_15_17.875,6,7
raw/static/trackTest-6Jan2022-C306-Y1/15/FH512_noDither_gradSpoiled-2022-01-06T15_24_46.536,6,7
raw/static/trackTest-6Jan2022-C306-Y1/15/SRI_Original-2022-01-06T15_25_34.651,6,7
raw/static/trackTest-6Jan2022-C306-Y1/16/FH512_noDither_gradSpoiled-2022-01-06T15_35_58.062,6,7
raw/static/trackTest-6Jan2022-C306-Y1/16/SRI_Original-2022-01-06T15_36_48.161,6,7
raw/static/trackTest-6Jan2022-C306-Y1/1/FH512_noDither_gradSpoiled-2022-01-06T12_07_47.479,6,7
raw/static/trackTest-6Jan2022-C306-Y1/1/SRI_Original-2022-01-06T12_08_10.979,6,7
raw/static/trackTest-6Jan2022-C306-Y1/2/FH512_noDither_gradSpoiled-2022-01-06T12_24_01.747,6,7
raw/static/trackTest-6Jan2022-C306-Y1/2/SRI_Original-2022-01-06T12_24_59.592,6,7
raw/static/trackTest-6Jan2022-C306-Y1/3/FH512_noDither_gradSpoiled-2022-01-06T12_33_01.408,6,7
raw/static/trackTest-6Jan2022-C306-Y1/3/SRI_Original-2022-01-06T12_33_47.357,6,7
raw/static/trackTest-6Jan2022-C306-Y1/4/FH512_noDither_gradSpoiled-2022-01-06T12_44_13.134,6,7
raw/static/trackTest-6Jan2022-C306-Y1/4/SRI_Original-2022-01-06T12_44_57.199,6,7
raw/static/trackTest-6Jan2022-C306-Y1/5/FH512_noDither_gradSpoiled-2022-01-06T12_54_26.245,6,7
raw/static/trackTest-6Jan2022-C306-Y1/5/SRI_Original-2022-01-06T12_55_06.160,6,7
raw/static/trackTest-6Jan2022-C306-Y1/6/FH512_noDither_gradSpoiled-2022-01-06T13_18_11.660,6,7
